Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202305,ENGLAND,Pregabalin (0408010AE),761242,1924298.4539113,15477747.6225752,15477747.6225752,62604001
202305,ENGLAND,Gabapentin (0408010G0),624145,3771871.72735212,14511300.0338532,9674199.99303735,62604001
202306,ENGLAND,Pregabalin (0408010AE),772378,1957040.2413804,15722214.3389864,15722214.3389864,62671533
202306,ENGLAND,Gabapentin (0408010G0),633812,3579839.56760871,14726662.4920526,9817774.96467203,62671533
202307,ENGLAND,Pregabalin (0408010AE),752590,1821486.42364847,15313349.7058923,15313349.7058923,62735715
202307,ENGLAND,Gabapentin (0408010G0),614475,3330063.31832721,14261721.7839707,9507814.49353002,62735715
202308,ENGLAND,Pregabalin (0408010AE),781103,1784809.00021681,15760012.0721855,15760012.0721855,62735715
202308,ENGLAND,Gabapentin (0408010G0),632015,3410570.65517386,14583581.2003833,9722387.43720821,62735715
202309,ENGLAND,Pregabalin (0408010AE),758679,1768415.32511581,15381601.289115,15381601.289115,62911980
202309,ENGLAND,Gabapentin (0408010G0),615153,3310961.97193612,14224462.933948,9482975.26018519,62911980
202310,ENGLAND,Pregabalin (0408010AE),774710,1729620.634011,15622242.255506,15622242.255506,63044778
202310,ENGLAND,Gabapentin (0408010G0),623320,3025741.64236721,14394973.28379,9596648.82655035,63044778
202311,ENGLAND,Pregabalin (0408010AE),778716,1732042.2459732,15743318.9887539,15743318.9887539,63145164
202311,ENGLAND,Gabapentin (0408010G0),624350,3014521.5323755,14388456.0337589,9592303.99315076,63145164
202312,ENGLAND,Pregabalin (0408010AE),778858,1757652.40009721,15852922.7220056,15852922.7220056,63205534
202312,ENGLAND,Gabapentin (0408010G0),623907,3060662.5341239,14481851.3670946,9654567.54858978,63205534
202401,ENGLAND,Pregabalin (0408010AE),797782,1722371.18236696,16161154.2550863,16161154.2550863,63271011
202401,ENGLAND,Gabapentin (0408010G0),633627,2716164.78941292,14609227.6586477,9739485.0760439,63271011
202402,ENGLAND,Pregabalin (0408010AE),754076,1669040.24082384,15215846.0890508,15215846.0890508,63310645
202402,ENGLAND,Gabapentin (0408010G0),594188,2543312.85213842,13667307.3674611,9111538.21710357,63310645
202403,ENGLAND,Pregabalin (0408010AE),761064,1918216.45385729,15334710.4223729,15334710.4223729,63331379
202403,ENGLAND,Gabapentin (0408010G0),603517,2564987.74874177,13845449.9589921,9230299.94442566,63331379
202404,ENGLAND,Pregabalin (0408010AE),788673,3672182.29017617,15898123.4886662,15898123.4886662,63378182
202404,ENGLAND,Gabapentin (0408010G0),622656,2680483.76191528,14311003.825367,9540669.18779268,63378182
202405,ENGLAND,Pregabalin (0408010AE),817426,3706438.10252573,16421039.8381319,16421039.8381319,63425860
202405,ENGLAND,Gabapentin (0408010G0),638207,2733795.34782829,14624684.525205,9749789.65369991,63425860
202406,ENGLAND,Pregabalin (0408010AE),754871,3464647.17340258,15174771.1889672,15174771.1889672,63461680
202406,ENGLAND,Gabapentin (0408010G0),591428,2550604.48131155,13563275.9507243,9042183.93957699,63461680
202407,ENGLAND,Pregabalin (0408010AE),830463,3663916.81857454,16665510.9044308,16665510.9044308,63480506
202407,ENGLAND,Gabapentin (0408010G0),647167,2660035.57952523,14793930.5333597,9862620.3255188,63480506
202408,ENGLAND,Pregabalin (0408010AE),802326,3119697.15032516,16047104.5881935,16047104.5881935,63531644
202408,ENGLAND,Gabapentin (0408010G0),623922,2498058.67299915,14226478.2420329,9484318.79904982,63531644
202409,ENGLAND,Pregabalin (0408010AE),779462,2944065.23288884,15598868.5051177,15598868.5051177,63623320
202409,ENGLAND,Gabapentin (0408010G0),603738,2443182.57103426,13759754.7421799,9173169.80022955,63623320
202410,ENGLAND,Pregabalin (0408010AE),834186,3081607.27744167,16639385.6211001,16639385.6211001,63722003
202410,ENGLAND,Gabapentin (0408010G0),642169,2343836.50661223,14600524.2417666,9733682.79811792,63722003
202411,ENGLAND,Pregabalin (0408010AE),792558,2757272.08035147,15823901.2050265,15823901.2050265,63766922
202411,ENGLAND,Gabapentin (0408010G0),608404,2188158.55184115,13816726.4254678,9211150.92236541,63766922
202412,ENGLAND,Pregabalin (0408010AE),824349,2613117.18711853,16508752.9711892,16508752.9711892,63778023
202412,ENGLAND,Gabapentin (0408010G0),629756,3038923.97525758,14338750.0335259,9559166.66004957,63778023
202501,ENGLAND,Pregabalin (0408010AE),835303,2495288.89181986,16723259.487637,16723259.487637,63811119
202501,ENGLAND,Gabapentin (0408010G0),635756,3575450.4245984,14426152.5334661,9617434.99278999,63811119
202502,ENGLAND,Pregabalin (0408010AE),749518,2038618.06856493,14944300.888903,14944300.888903,63814878
202502,ENGLAND,Gabapentin (0408010G0),569190,3240549.96284229,12914880.5343161,8609920.32994341,63814878
202503,ENGLAND,Pregabalin (0408010AE),798474,2193147.6137743,15923758.2547895,15923861.1047895,63824983
202503,ENGLAND,Gabapentin (0408010G0),601449,3163057.33005956,13607410.5754942,9071607.02267894,63824983
202504,ENGLAND,Pregabalin (0408010AE),813360,1997389.15989001,16155331.4879648,16155512.4379648,63829070
202504,ENGLAND,Gabapentin (0408010G0),611925,2547915.38523314,13805382.6420721,9203588.3999661,63829070
